"שם משתמש","גיל","תאריך הרשמה","תאריך עדכון אחרון","מכתב פתיחה","פרק א - סוד האושר","משימת קרמבו - אגף המשימות","פרק ב - האנשים הגדולים","פרק ג - אני טוב","פרק ד - להוקיר את החיים","!פרק ה - נעים להכיר","פרק ו - מגשימי החלומות","פרק ז - החופש הגדול","פרק ח - לרוץ עם הרצון","פרק ט - המסלול הבטוח","פרק י - לתת ולצמוח","פרק יא - ההחמצות","פרק יב - מה הם יודעים שאנחנו לא?","פרק יג","פרק יד - הבלו פרינט","פרק טו - למלא את החלל","פרק טז - מדיה הסיפור האמיתי","פרק יז - מישהו לרוץ איתו","פרק יח - טיפים של אלופים","פרק יט - אמא אדמה","פרק כג - יום השחרור","פרק כה - חוזרים לשליטה","פרק כו - אין לי כח","פרק כז - לבחור נכון","פרק כח - מה הסיפור שלי?","פרק כט - תמיד מוכן","שליטה עצמית","חיבור עצמי","מחוייבות להצלחה","מימוש עצמי"
"jfgXU3cFC1etYH5yBETwmVgOIcx1","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"KbPNSdAePocWeYH64t2HgX0EaTL2","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"kUh7xFH2UGUBmOgKek2BInsKzz42","","2020-12-18","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","3","0.0","4.67836257","2.12014134","12.12121212"
"l86qepHY5oR9md5J73RWwSiibDy1","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"mlQkjYqmkjePmTXpW7TNbEDpEK43","","2020-12-28","2020-12-28","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"OQjgaNb9wwSMcbiY1sEoDdOLaF92","","2020-12-21","2021-01-04","1","1","0","0","2","2","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","11","12","3","2","2","0","55.2581262","51.322752439999995","46.062593639999996","6.06060606"
"POq0HHXqFyPwwBRfQxAYc4CzbYs1","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","8","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","4.37039006","4.45558285","10.095911659999999","28.860030300000002"
"QB5yOnga9qYgpBkaFjq78lJCwKB3","","2020-12-26","2020-12-26","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"QxtwObTLP3U4LF2oBt5lHNQM5iq1","","2021-01-03","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"rM7HKoEkjCVXbHDCH3GE5LHu2ez1","","2020-12-20","2021-01-04","1","1","1","0","0","2","0","2","2","4","7","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","2","7.6481835600000005","30.40935673","17.31448763","33.333333329999995"
"scogk9yuBjMZ8xwTX4vZyRw4mKt1","","2021-01-01","2021-01-02","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0.0","3.89863548","3.5335689000000006","0.0"
"SdLpbVit4ET6WjwULZQSnHRelJd2","","2021-01-04","2021-01-04","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"Sjy5o4Sg0vUwkRDece2xe47iNTr1","","2021-01-01","2021-01-01","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"SOPzXW9IOTNG9o8UEt1NL3lbnnv2","","2020-12-19","2020-12-25","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0.0","3.89863548","0.0","0.0"
"SxOqt2tBzwh3bR9BxsRvUxrqEtZ2","","2020-12-27","2020-12-27","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"TdeMV0sYjaSMNlX9cEhaQS3Chdg1","","2020-12-20","2020-12-20","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"v45ZhPcSsnMC76sjU3WfvZNCA1n1","","2021-01-03","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"VnKBx1QQNOZvNU0PTxUZdFdSeTA3","","2021-01-01","2021-01-01","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"WOGoI5e7hmO1anrxDVEDS9KWpEf2","","2021-01-03","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"WZR5yPjY3lMALuFz099RqIxJw1J2","","2020-12-25","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0.0","0.0","0.0","0.0"
"xMAN6GPCzARspFWVXF094UaqVRk2","","2021-01-04","2021-01-04","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"xrROVxPxQ9QcO8mKJwnZR96cikk1","","2020-12-26","2020-12-26","1","1","1","1","0","1","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0.0","9.746588690000001","12.367491170000001","0.0"
"yeZbYe6D44Vh4AKPtzkTfITK3hO2","","2020-12-27","2020-12-27","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"yFaFZkhNM7YItelLm57g7xFzzza2","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"YRQGhlsT14Z6vGk0FzoMC5GNSXD2","","2020-12-30","2020-12-30","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
"ZmIb8DaeoqVVWABSpQaSGTt6p722","","2021-01-03","2021-01-03","1","1","0","0","0","0","0","2","2","4","0","0","0","1","3","2","0","0","0","2","0","0","0","3","2","2","0","0","0","0","0"
